sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Closed position,978915990,XAUUSD,1,Buy,3399.33,3410.82,2025/08/28 11:37:48,2025/08/29 07:00:00,2025/08/28,2025/08/29,1149,-52.78,-7,1089.22,3521.72,3390.55,114.9,Win,19.37,202501024,,deusfund-sqx2
Closed position,978629550,GBPJPY,1,Buy,199.122,197.961,2025/08/28 05:22:45,2025/08/29 12:51:35,2025/08/28,2025/08/29,-789.49,7.3,-7,-789.19,203.072,197.972,-116.1,Loss,31.48,202501002,,deusfund-sqx2
Closed position,979746415,GBPJPY,1,Sell,198.318,198.214,2025/08/29 00:22:23,2025/08/29 13:56:18,2025/08/29,2025/08/29,70.63,0,-7,63.63,188.998,201.095,10.4,Win,13.57,202501002,,deusfund-sqx2
Closed position,980521492,XAUUSD,1,Buy,3423.32,3429.06,2025/08/29 16:38:22,2025/08/29 17:00:00,2025/08/29,2025/08/29,574,0,-7,567,3731.27,3414.63,57.4,Win,0.36,202501027,,deusfund-sqx2
Closed position,980521566,XAUUSD,1,Buy,3423.32,3429.06,2025/08/29 16:38:22,2025/08/29 17:00:00,2025/08/29,2025/08/29,574,0,-7,567,0,3414.33,57.4,Win,0.36,202501025,,deusfund-sqx2
Closed position,980521546,XAUUSD,1,Buy,3423.32,3429.06,2025/08/29 16:38:22,2025/08/29 17:00:00,2025/08/29,2025/08/29,574,0,-7,567,0,3414.05,57.4,Win,0.36,1007,,deusfund-sqx1
Closed position,980515391,XAUUSD,0.4,Buy,3422.21,3445.66,2025/08/29 16:36:07,2025/08/29 18:16:46,2025/08/29,2025/08/29,938,0,-2.8,935.2,3445.56,3414.01,234.5,Win,1.68,6,,deusfund-sqx1
Closed position,980522267,XAUUSD,1,Buy,3424.29,3439.56,2025/08/29 16:38:23,2025/09/01 04:11:58,2025/08/29,2025/09/01,1527,-53.75,-7,1466.25,0,3415.98,152.7,Win,59.56,202501022,,deusfund-sqx2
Closed position,981501462,USDJPY,1,Buy,147.322,147.035,2025/09/01 04:20:01,2025/09/01 05:28:21,2025/09/01,2025/09/01,-195.19,0,-7,-202.19,149.974,147.041,-28.7,Loss,1.14,202501018,,deusfund-sqx2
Closed position,981501467,USDJPY,1,Buy,147.322,147.035,2025/09/01 04:20:01,2025/09/01 05:28:21,2025/09/01,2025/09/01,-195.19,0,-7,-202.19,149.385,147.041,-28.7,Loss,1.14,202501013,,deusfund-sqx2
