sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Closed position,964075084,USTEC,8,Buy,23716.9,23816.5,2025/08/12 18:10:18,2025/08/12 22:45:00,2025/08/12,2025/08/12,796.8,0,0,796.8,0,23613.67,99.6,Win,4.58,7,,deusfund-sqx1
Closed position,964075085,USTEC,8,Buy,23716.9,23816.5,2025/08/12 18:10:18,2025/08/12 22:45:00,2025/08/12,2025/08/12,796.8,0,0,796.8,0,23613.67,99.6,Win,4.58,8,,deusfund-sqx1
Closed position,964076345,USTEC,8,Buy,23730.7,23816.5,2025/08/12 18:10:57,2025/08/12 22:45:00,2025/08/12,2025/08/12,686.4,0,0,686.4,0,23019.26,85.8,Win,4.57,202501011,,deusfund-sqx2
Closed position,964076564,USTEC,16,Buy,23733.6,23816.5,2025/08/12 18:11:05,2025/08/12 22:45:00,2025/08/12,2025/08/12,1326.4,0,0,1326.4,25157.11,23258.46,82.9,Win,4.57,202501010,,deusfund-sqx2
Closed position,964401895,BTCUSD,0.8,Buy,120312.25,119670.88,2025/08/13 02:51:20,2025/08/13 03:57:01,2025/08/13,2025/08/13,-513.1,0,0,-513.1,0,119625.33,-641.4,Loss,1.09,1001,,deusfund-sqx1
Closed position,963074077,USDJPY,1,Buy,148.23,147.487,2025/08/12 01:43:19,2025/08/13 10:24:59,2025/08/12,2025/08/13,-503.77,6.73,-7,-504.04,150.6,147.487,-74.3,Loss,32.69,202501015,,deusfund-sqx2
Closed position,964088093,USTEC,8,Buy,23761.2,23886.8,2025/08/12 18:19:21,2025/08/13 11:00:00,2025/08/12,2025/08/13,1004.8,-47.36,0,957.44,24117.11,23712.23,125.6,Win,16.68,202501005,,deusfund-sqx2
Closed position,964662994,XAUUSD,1,Buy,3359.25,3354.38,2025/08/13 10:13:13,2025/08/13 11:00:00,2025/08/13,2025/08/13,-487,0,-7,-494,3480.1,3346.1,-48.7,Loss,0.78,202501023,,deusfund-sqx2
Closed position,964611122,XAUUSD,1,Buy,3355.73,3356.26,2025/08/13 09:16:52,2025/08/13 15:30:46,2025/08/13,2025/08/13,53,0,-7,46,0,3343.7,5.3,Win,6.23,202501026,,deusfund-sqx2
Closed position,965030051,USTEC,8,Buy,23947.5,23816.4,2025/08/13 16:30:01,2025/08/13 22:45:00,2025/08/13,2025/08/13,-1048.8,0,0,-1048.8,0,21551.05,-131.1,Loss,6.25,9,,deusfund-sqx1
Closed position,961757908,GBPJPY,1,Buy,198.774,199.415,2025/08/11 01:00:26,2025/08/14 03:17:45,2025/08/11,2025/08/14,436.71,35.91,-7,465.62,204.138,197.971,64.1,Win,74.29,202501003,,deusfund-sqx2
Closed position,965550346,XAUUSD,1,Buy,3370.84,3369.48,2025/08/14 03:23:34,2025/08/14 04:00:00,2025/08/14,2025/08/14,-136,0,-7,-143,0,3357.8,-13.6,Loss,0.61,1007,,deusfund-sqx1
Closed position,961757907,GBPJPY,1,Buy,198.774,198.993,2025/08/11 01:00:26,2025/08/14 04:18:28,2025/08/11,2025/08/14,149.58,35.91,-7,178.49,202.721,197.621,21.9,Win,75.3,202501002,,deusfund-sqx2
Closed position,965550382,XAUUSD,1,Buy,3370.84,3358.45,2025/08/14 03:23:34,2025/08/14 06:16:50,2025/08/14,2025/08/14,-1239,0,-7,-1246,0,3358.67,-123.9,Loss,2.89,202501025,,deusfund-sqx2
Closed position,966218440,USTEC,5,Sell,23731.8,23849.5,2025/08/14 15:34:08,2025/08/14 16:51:19,2025/08/14,2025/08/14,-588.5,0,0,-588.5,23613.07,23850.39,-117.7,Loss,1.29,1,,deusfund-sqx1
Closed position,968255378,BTCUSD,0.8,Buy,118006,117589.5,2025/08/18 01:34:00,2025/08/18 02:26:02,2025/08/18,2025/08/18,-333.2,0,0,-333.2,0,117599.57,-416.5,Loss,0.87,1001,,deusfund-sqx1
Closed position,968847166,GBPJPY,1,Buy,200.116,199.413,2025/08/18 15:58:59,2025/08/19 04:43:45,2025/08/18,2025/08/19,-475.81,7.25,-7,-475.56,205.521,199.318,-70.3,Loss,12.75,202501003,,deusfund-sqx2
Closed position,969301503,USDJPY,1,Buy,147.943,147.638,2025/08/19 02:09:53,2025/08/19 04:45:27,2025/08/19,2025/08/19,-206.59,0,-7,-213.59,150.605,147.641,-30.5,Loss,2.59,202501018,,deusfund-sqx2
Closed position,968847165,GBPJPY,1,Buy,200.116,198.994,2025/08/18 15:58:59,2025/08/19 20:04:31,2025/08/18,2025/08/19,-760.47,7.25,-7,-760.22,204.068,198.968,-112.2,Loss,28.09,202501002,,deusfund-sqx2
Closed position,969301500,USDJPY,1,Buy,147.943,147.509,2025/08/19 02:09:53,2025/08/19 20:11:17,2025/08/19,2025/08/19,-294.22,0,-7,-301.22,150.901,147.509,-43.4,Loss,18.02,202501020,,deusfund-sqx2
Closed position,970121823,USTEC,5,Sell,23475.5,23358.1,2025/08/19 17:48:56,2025/08/19 22:01:16,2025/08/19,2025/08/19,587,0,0,587,23359.29,23594.05,117.4,Win,4.21,1,,deusfund-sqx1
